sea_surface_temperature,lat,lon
-0.34732074,6.7785826,0.89415526
1.2040992,3.9798472,-0.2991523
-0.70187753,-4.2413936,-1.7274593
-0.9247384,-5.451666,-0.4817297
-1.3498348,3.0285995,1.5345048
-0.011437994,-6.574766,-0.022818105
-0.014812834,-6.2446065,-0.42092508
-2.2155733,-2.995498,0.26409617
3.1613772,1.588553,0.8084546
0.6580052,-5.767416,-1.4263324
0.005751524,-5.7717376,-0.81835854
-1.0185554,-3.765194,-0.76073766
-0.04559379,-6.118799,-1.9015713
-0.22261003,-6.4057255,-0.22683585
0.66146755,0.41951716,0.5566565
-0.28651392,-6.4233017,-0.021448368
3.1276956,1.7302554,1.2264833
-0.17078969,-3.0727835,-0.9769456
0.66821647,1.0485315,-1.0512882
-1.2432898,-3.740586,-0.544524
1.5785688,2.4881964,1.2151028
-0.04705639,-5.673412,-0.9331077
2.2768197,0.8880294,1.6806136
-2.1904705,3.3027885,0.11332828
0.0074737407,-6.5411086,0.06654595
-0.9814092,7.2546086,0.9144385
-1.5704865,2.9951973,-2.33833
-0.020593688,-5.6493454,-0.945937
-1.1053898,-3.4393604,-2.323124
-3.0173635,1.7297192,1.3574537
-0.9951619,-4.1464376,-0.56633526
-0.47141224,4.252501,-0.48516807
-3.0974343,-2.3730342,0.2011134
-1.0351696,-5.7929173,-0.28176785
-0.08572945,-6.5031986,-0.13774227
1.1926097,-0.6457709,1.85465
-2.5782065,-3.996253,-0.3948266
-0.050820887,-5.966143,-0.45012683
-0.7000374,3.6435947,-0.15901752
-1.0132399,-3.5958145,-0.6843445
-1.6022894,-2.7854633,-1.0541726
2.0713365,-2.7065558,-1.1324364
-1.7021867,-3.9725327,-0.32500622
-0.8450735,-5.623794,-1.1784027
0.41359898,-1.5104781,-2.4532497
0.2917752,-6.368623,-1.2243267
-1.5719919,-3.7279778,0.10564802
0.738626,2.5644128,-1.2531482
-1.4499106,-3.0689812,-0.44256854
-2.0634196,-3.3154483,0.5474095
0.08813968,-6.676978,-0.7033185
-0.9653306,-3.2533662,-1.6208512
2.9744294,-0.27556038,0.58863735
-1.0058162,-5.7087674,-0.7349868
-0.8564308,-5.8999205,0.036988955
-1.1027585,-4.0404267,-0.7620216
0.76656216,0.723831,2.7762635
0.013641095,-6.5452914,-0.07737243
-0.34449217,-6.608642,-0.59769243
1.0345023,0.90745234,0.7850205
-0.35742155,-6.595713,-0.59769243
-0.7901437,-5.157739,-0.5254766
-0.80112505,-3.5804255,-0.41336355
-0.9159706,-5.2679954,-0.52337545
0.1826068,-6.1630154,-1.2700125
-1.020726,-5.7538886,0.0032039313
-0.05971191,-6.4256186,0.016234312
-0.91913044,-4.5061727,-0.5355572
-0.9869603,-3.790058,-1.2805686
0.5900707,-2.2220054,-3.1204746
0.3012167,-2.200924,-1.4330964
-1.2745178,3.5547397,1.5214467
1.2899221,2.4693117,-0.27767146
-1.4518209,3.1678681,-1.9560173
-0.047044896,-6.0709352,-0.47353137
2.624952,1.2359649,0.5305982
-0.23454653,-6.449243,-0.9435671
1.9642383,2.896574,1.0834407
-0.02369928,-3.8446598,-0.44647655
1.1890322,-0.7262143,0.8114135
-0.026758648,-4.998263,-0.24247225
1.8207356,3.1317816,1.1064451
-0.18193828,-5.0080214,-0.4018131
-0.24177988,-6.1316237,-0.2808814
1.707277,-1.8908767,0.1176305
